EDGE	CONSISTENCY
526~389541	0.9
9550~389541	0.9
526~10542	0.8
9550~10542	0.8
529~389541	0.8
529~10542	0.7
51382~389541	0.7
526~8649	0.6
51382~10542	0.6
523~389541	0.6
9550~8649	0.5
523~10542	0.5
529~8649	0.4
51382~8649	0.4
523~8649	0.3
523~55004	-0.6
51382~55004	-0.7
529~55004	-0.8
526~55004	-0.9
9550~55004	-0.9
