cell,orig.ident,nCount_gene,nFeature_gene,nCount_RNA,nFeature_RNA,sample_id,sample_id_1,tissue_type,Kit_ID,Kit_sample,Seq_Number,Tissue.Type,Prep.Method,Prep.Number,Age,Time.Group,Poor_Read_Number,Moderate_Alignment,Rod_Cells,Possible_Rods,Non_Photoreceptors,Collection_Method,Outliers,VSX2_Outlier,X9_Cluster_Green_Rods,HR_Cluster_LB,HR_Cluster_Black,HR_Cluster_LG,HR_Cluster_DG,HR_Cluster_Pink,Cluster_Color,Fetal_Age,Old_Seq_Number,Old_Seq_Kit_ID,excluded_because,batch,names,type,gene_snn_res.0.2,seurat_clusters,gene_snn_res.0.4,gene_snn_res.0.6,gene_snn_res.0.8,gene_snn_res.1,gene_snn_res.1.2,gene_snn_res.1.4,gene_snn_res.1.6,gene_snn_res.1.8,gene_snn_res.2,read_count,percent.mt,nCount_transcript,nFeature_transcript,transcript_snn_res.0.2,transcript_snn_res.0.4,transcript_snn_res.0.6,transcript_snn_res.0.8,transcript_snn_res.1,transcript_snn_res.1.2,transcript_snn_res.1.4,transcript_snn_res.1.6,transcript_snn_res.1.8,transcript_snn_res.2,ident
ds20181001-0471,ds20181001,933637.2299300289,1580,4127374.35277101,8757,ds20181001-0471,ds20181001-0471,organoid,2A,87,3,Organoid,Kuwahara,116,99,4,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0471,PE,1,3,1,0,0,0,3,1,1,1,3,NA,0.701368821440235,932809.7937587885,4504,1,1,0,0,2,2,0,3,7,7,3
ds20181001-0472,ds20181001,1006986.8701348605,1806,4228485.38146512,10370,ds20181001-0472,ds20181001-0472,organoid,2A,88,3,Organoid,Kuwahara,116,99,4,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0472,PE,2,6,3,3,3,3,1,8,5,7,6,NA,0.30173555525801915,1007400.4378084637,5192,2,4,4,4,5,6,6,6,5,5,6
ds20181001-0473,ds20181001,692126.9550852149,1642,2771814.51356194,9954,ds20181001-0473,ds20181001-0473,organoid,2A,89,3,Organoid,Kuwahara,116,99,4,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0473,PE,2,6,3,3,3,3,1,7,5,7,6,NA,0.49750360445607633,690918.0255661337,4908,2,4,4,4,5,6,6,6,5,5,6
ds20181001-0474,ds20181001,455328.57777274045,1558,1779961.79907944,9165,ds20181001-0474,ds20181001-0474,organoid,2A,90,3,Organoid,Kuwahara,116,99,4,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0474,PE,2,6,3,3,3,3,1,8,5,7,6,NA,0.4009330039666001,455105.805679866,4154,2,4,4,4,5,6,6,6,5,5,6
ds20181001-0475,ds20181001,1097687.1270375294,1655,4246690.7058202,9265,ds20181001-0475,ds20181001-0475,organoid,2A,91,3,Organoid,Kuwahara,116,99,4,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0475,PE,2,6,3,3,3,3,1,8,5,7,6,NA,0.20568765637015685,1095733.3456292916,4551,2,4,4,4,5,6,6,6,5,5,6
ds20181001-0476,ds20181001,1053418.0170899155,1709,4355833.75818011,9713,ds20181001-0476,ds20181001-0476,organoid,2A,92,3,Organoid,Kuwahara,116,99,4,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0476,PE,0,1,0,1,1,1,2,2,2,3,1,NA,0.2000573457749388,1054181.3104049081,4964,0,0,2,2,5,6,6,6,5,5,1
ds20181001-0477,ds20181001,1113779.5451212577,1787,4508594.96475807,9955,ds20181001-0477,ds20181001-0477,organoid,2A,93,3,Organoid,Kuwahara,116,99,4,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0477,PE,1,0,4,4,4,4,4,3,3,2,0,NA,0.6352136008885378,1110702.1044569253,5235,1,3,3,3,4,5,5,5,4,4,0
ds20181001-0478,ds20181001,1194237.460619173,1744,4881031.72746991,10109,ds20181001-0478,ds20181001-0478,organoid,2A,94,3,Organoid,Kuwahara,116,99,4,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0478,PE,2,6,3,3,3,3,1,8,5,7,6,NA,0.3372517774415556,1193310.6533244322,5005,2,4,4,4,5,6,6,6,5,5,6
ds20181001-0479,ds20181001,1082873.7580007038,1666,4199458.31951684,9413,ds20181001-0479,ds20181001-0479,organoid,2A,95,3,Organoid,Kuwahara,116,99,4,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0479,PE,2,6,3,3,3,3,1,7,5,7,6,NA,0.3165824775699533,1081397.9033979478,4690,2,4,4,4,5,6,6,6,5,5,6
ds20181001-0480,ds20181001,872221.3095931035,1802,3615337.74346992,10109,ds20181001-0480,ds20181001-0480,organoid,2A,96,3,Organoid,Kuwahara,116,99,4,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0480,PE,0,11,0,1,1,1,6,8,5,10,11,NA,0.2382369962558139,870859.9568756671,5065,0,0,6,6,5,4,4,4,3,3,11
