cell,orig.ident,nCount_gene,nFeature_gene,nCount_RNA,nFeature_RNA,sample_id,sample_id_1,tissue_type,Kit_ID,Kit_sample,Seq_Number,Tissue.Type,Prep.Method,Prep.Number,Age,Time.Group,Poor_Read_Number,Moderate_Alignment,Rod_Cells,Possible_Rods,Non_Photoreceptors,Collection_Method,Outliers,VSX2_Outlier,X9_Cluster_Green_Rods,HR_Cluster_LB,HR_Cluster_Black,HR_Cluster_LG,HR_Cluster_DG,HR_Cluster_Pink,Cluster_Color,Fetal_Age,Old_Seq_Number,Old_Seq_Kit_ID,excluded_because,batch,names,type,gene_snn_res.0.2,seurat_clusters,gene_snn_res.0.4,gene_snn_res.0.6,gene_snn_res.0.8,gene_snn_res.1,gene_snn_res.1.2,gene_snn_res.1.4,gene_snn_res.1.6,gene_snn_res.1.8,gene_snn_res.2,read_count,percent.mt,nCount_transcript,nFeature_transcript,transcript_snn_res.0.2,transcript_snn_res.0.4,transcript_snn_res.0.6,transcript_snn_res.0.8,transcript_snn_res.1,transcript_snn_res.1.2,transcript_snn_res.1.4,transcript_snn_res.1.6,transcript_snn_res.1.8,transcript_snn_res.2,ident
ds20181001-0001,ds20181001,526209.3870305879,1532,2384251.38919019,8908,ds20181001-0001,ds20181001-0001,organoid,1A,1,3,Organoid,Kuwahara,115,56,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0001,PE,0,2,2,2,2,2,0,0,0,0,2,NA,0.17593668229901768,525534.0720092148,4290,0,2,1,1,1,0,1,0,0,0,2
ds20181001-0002,ds20181001,209036.27784836604,1038,891702.835014707,6107,ds20181001-0002,ds20181001-0002,organoid,1A,2,3,Organoid,Kuwahara,115,56,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0002,PE,0,2,2,2,2,2,0,0,0,0,2,NA,0.3751846794991789,208914.3239659046,2592,0,2,1,1,1,0,1,0,0,0,2
ds20181001-0003,ds20181001,470723.6556577244,1696,1748316.06056292,9366,ds20181001-0003,ds20181001-0003,organoid,1A,3,3,Organoid,Kuwahara,115,56,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0003,PE,3,12,5,5,5,6,7,5,7,4,12,NA,0.39647112202421303,470707.7278245901,4646,3,5,5,5,6,7,7,7,6,6,12
ds20181001-0004,ds20181001,780500.870165908,1723,2361597.01164197,8895,ds20181001-0004,ds20181001-0004,organoid,1A,4,3,Organoid,Kuwahara,115,56,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0004,PE,3,12,5,5,5,6,7,5,7,4,12,NA,0.4962394556051553,779109.3236373476,4845,3,5,5,5,6,7,7,7,6,6,12
ds20181001-0005,ds20181001,406661.2977339911,1235,1774650.58772424,7313,ds20181001-0005,ds20181001-0005,organoid,1A,5,3,Organoid,Kuwahara,115,56,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0005,PE,0,2,2,2,2,2,0,0,0,0,2,NA,0.24485163322289666,406722.9029962241,3244,0,2,1,1,1,0,1,0,0,0,2
ds20181001-0006,ds20181001,296052.99787567166,1197,1232401.44788244,6742,ds20181001-0006,ds20181001-0006,organoid,1A,6,3,Organoid,Kuwahara,115,56,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0006,PE,0,2,2,2,2,2,0,0,0,0,2,NA,0.9387127764014789,295994.01525326434,2981,0,2,1,1,1,0,1,0,0,0,2
ds20181001-0007,ds20181001,490876.0943672229,1611,1634872.83911892,8789,ds20181001-0007,ds20181001-0007,organoid,1A,7,3,Organoid,Kuwahara,115,56,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0007,PE,3,12,5,5,5,6,7,5,7,4,12,NA,0.4599878961694915,490035.301347308,4467,3,5,5,5,6,7,7,7,6,6,12
ds20181001-0008,ds20181001,348263.3422296842,1327,1426519.39510154,7591,ds20181001-0008,ds20181001-0008,organoid,1A,8,3,Organoid,Kuwahara,115,56,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0008,PE,0,7,2,2,2,2,0,0,0,0,7,NA,0.07856026229489385,348227.49730981846,3407,0,2,1,1,1,0,1,0,0,0,7
ds20181001-0009,ds20181001,392044.20867531945,1045,1712257.03083139,6669,ds20181001-0009,ds20181001-0009,organoid,1A,9,3,Organoid,Kuwahara,115,56,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0009,PE,0,2,2,2,2,2,0,0,0,0,2,NA,0.4389012426608929,391697.3830028649,2923,0,2,1,1,1,0,1,0,0,0,2
ds20181001-0010,ds20181001,302979.0666555013,1089,1283932.40212295,6478,ds20181001-0010,ds20181001-0010,organoid,1A,10,3,Organoid,Kuwahara,115,56,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0010,PE,0,2,2,2,2,2,0,0,0,0,2,NA,0.19320448459962278,302905.4864067266,2879,0,2,1,1,1,0,1,0,0,0,2
ds20181001-0011,ds20181001,422065.7593700585,1245,1810060.67207813,7244,ds20181001-0011,ds20181001-0011,organoid,1A,11,3,Organoid,Kuwahara,115,56,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0011,PE,0,2,2,2,2,2,0,0,0,0,2,NA,0.3454097317490244,422544.99895583454,3416,0,2,1,1,1,0,1,0,0,0,2
ds20181001-0012,ds20181001,720599.3060028283,1434,2505360.48075361,8152,ds20181001-0012,ds20181001-0012,organoid,1A,12,3,Organoid,Kuwahara,115,56,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0012,PE,3,7,5,5,5,6,7,5,7,4,7,NA,0.25049782579332364,720201.2865931726,4059,3,5,5,5,6,7,7,7,6,6,7
ds20181001-0013,ds20181001,400086.2666126519,1319,1332606.97931581,7061,ds20181001-0013,ds20181001-0013,organoid,1A,13,3,Organoid,Kuwahara,116,57,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0013,PE,3,7,5,5,5,6,7,5,7,4,7,NA,0.3142112928736644,399387.61803934287,3362,3,5,5,5,6,7,7,7,6,6,7
ds20181001-0014,ds20181001,513177.5161931808,1656,2169129.10086763,9813,ds20181001-0014,ds20181001-0014,organoid,1A,14,3,Organoid,Kuwahara,116,57,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0014,PE,0,2,2,2,2,2,0,0,0,0,2,NA,0.1598022069757486,512181.2928271302,4738,0,2,1,1,1,0,1,0,0,0,2
ds20181001-0015,ds20181001,606598.5356547507,1448,2502224.44415543,8527,ds20181001-0015,ds20181001-0015,organoid,1A,15,3,Organoid,Kuwahara,116,57,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0015,PE,0,2,2,2,2,2,0,0,0,0,2,NA,0.549145722457722,606130.4463666244,4037,0,2,1,1,1,0,1,0,0,0,2
ds20181001-0016,ds20181001,481720.55917065166,1492,2010987.96172752,8872,ds20181001-0016,ds20181001-0016,organoid,1A,16,3,Organoid,Kuwahara,116,57,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0016,PE,0,2,2,2,2,2,0,0,0,0,2,NA,0.8401936530641217,480207.8428856037,3955,0,2,1,1,1,0,1,0,0,0,2
ds20181001-0017,ds20181001,793453.8946244516,1394,3110368.52690369,7901,ds20181001-0017,ds20181001-0017,organoid,1A,17,3,Organoid,Kuwahara,116,57,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0017,PE,0,2,2,2,2,2,0,0,0,0,2,NA,0.17821191992942448,792727.5071775399,3787,0,2,1,1,1,0,1,0,0,0,2
ds20181001-0018,ds20181001,773145.2014992636,1137,2576362.10578897,6578,ds20181001-0018,ds20181001-0018,organoid,1A,18,3,Organoid,Kuwahara,116,57,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0018,PE,0,7,2,2,2,2,0,0,0,0,7,NA,0.7929342653081283,772427.0814845006,3298,3,5,5,5,6,7,7,7,6,6,7
ds20181001-0019,ds20181001,742494.7217985694,1377,2507995.47745784,7442,ds20181001-0019,ds20181001-0019,organoid,1A,19,3,Organoid,Kuwahara,116,57,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0019,PE,3,7,5,5,5,6,7,5,7,4,7,NA,0.33754212013518914,741379.1990924063,3783,3,5,5,5,6,7,7,7,6,6,7
ds20181001-0020,ds20181001,793516.7399376316,1401,3573203.47729524,8197,ds20181001-0020,ds20181001-0020,organoid,1A,20,3,Organoid,Kuwahara,116,57,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0020,PE,0,2,2,2,2,2,0,0,0,0,2,NA,0.30055458753411257,793407.7549869921,3918,0,2,1,1,1,0,1,0,0,0,2
ds20181001-0021,ds20181001,519383.463147843,1383,2310124.40763844,8269,ds20181001-0021,ds20181001-0021,organoid,1A,21,3,Organoid,Kuwahara,116,57,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0021,PE,0,2,2,2,2,2,0,0,0,0,2,NA,0.1411088468437324,519023.87377517496,3807,0,2,1,1,1,0,1,0,0,0,2
ds20181001-0022,ds20181001,351103.24143998366,939,1451095.08191292,5388,ds20181001-0022,ds20181001-0022,organoid,1A,22,3,Organoid,Kuwahara,116,57,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0022,PE,0,2,2,2,2,2,0,0,0,0,2,NA,0.9384505605793834,349318.5133160016,2185,0,2,1,1,1,0,1,0,0,0,2
ds20181001-0023,ds20181001,580235.0312873736,1233,2538044.6706227902,6823,ds20181001-0023,ds20181001-0023,organoid,1A,23,3,Organoid,Kuwahara,116,57,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonPRs,ds20181001_organoid,ds20181001-0023,PE,0,7,2,2,2,2,0,0,0,0,7,NA,0.8868627385425423,578698.1194317562,3209,0,2,1,1,1,0,1,0,0,0,7
ds20181001-0024,ds20181001,746020.7872151652,1283,3060684.26313551,7225,ds20181001-0024,ds20181001-0024,organoid,1A,24,3,Organoid,Kuwahara,116,57,1,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0024,PE,0,10,0,1,1,5,5,4,6,9,10,NA,0.15709997177831594,744811.6607581043,3626,0,2,1,1,1,0,1,0,0,0,10
ds20181001-0025,ds20181001,1031109.5135098841,1376,4305393.75131401,7838,ds20181001-0025,ds20181001-0025,organoid,1A,25,3,Organoid,Kuwahara,115,70,2,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0025,PE,0,2,0,1,1,2,0,0,0,0,2,NA,0.5766733905099187,1031048.0417527448,3848,0,2,1,1,1,0,1,0,0,0,2
ds20181001-0026,ds20181001,767328.46457975,1320,3324188.15121048,7487,ds20181001-0026,ds20181001-0026,organoid,1A,26,3,Organoid,Kuwahara,115,70,2,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0026,PE,0,5,0,6,6,5,6,6,6,6,5,NA,0.08937915109423902,766403.2133028023,3425,0,0,6,6,7,4,4,4,3,3,5
ds20181001-0027,ds20181001,766210.2616117509,1611,3299749.99371123,9163,ds20181001-0027,ds20181001-0027,organoid,1A,27,3,Organoid,Kuwahara,115,70,2,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0027,PE,0,10,0,1,1,5,0,0,0,9,10,NA,0.5393696227833531,766302.450255079,4658,0,2,1,1,1,0,1,0,0,0,10
ds20181001-0028,ds20181001,169752.2419363346,1106,740551.840444442,6229,ds20181001-0028,ds20181001-0028,organoid,1A,28,3,Organoid,Kuwahara,115,70,2,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0028,PE,0,1,0,1,1,1,2,2,2,3,1,NA,0.10870297077413954,169548.28739270434,2670,0,1,0,0,2,2,0,9,10,9,1
ds20181001-0029,ds20181001,553775.1820363043,1027,2483716.20091754,5862,ds20181001-0029,ds20181001-0029,organoid,1A,29,3,Organoid,Kuwahara,115,70,2,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0029,PE,1,4,1,0,0,0,5,4,4,5,4,NA,0.44029802731628714,552836.8198295608,2689,1,1,0,0,2,2,0,3,2,2,4
ds20181001-0030,ds20181001,855938.5009822287,1354,3553915.23158168,7968,ds20181001-0030,ds20181001-0030,organoid,1A,30,3,Organoid,Kuwahara,115,70,2,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0030,PE,0,1,0,1,1,1,2,2,2,3,1,NA,0.28250861663302046,855622.83747042,3738,0,0,2,2,0,1,3,2,1,1,1
ds20181001-0031,ds20181001,797036.201673086,1112,2519846.26096929,5847,ds20181001-0031,ds20181001-0031,organoid,1A,31,3,Organoid,Kuwahara,115,70,2,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0031,PE,3,12,5,5,5,6,7,5,7,4,12,NA,0.5058006324431615,797370.4670560574,2652,3,5,5,5,6,7,7,7,6,6,12
ds20181001-0032,ds20181001,997599.9431958555,1450,4227683.72299764,8037,ds20181001-0032,ds20181001-0032,organoid,1A,32,3,Organoid,Kuwahara,115,70,2,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0032,PE,0,1,0,1,1,1,2,2,2,3,1,NA,0.14649129496209432,997531.5923332708,4096,0,0,2,2,0,1,3,2,1,1,1
ds20181001-0033,ds20181001,599598.4788868125,1350,2468735.37992228,7859,ds20181001-0033,ds20181001-0033,organoid,1A,33,3,Organoid,Kuwahara,115,70,2,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0033,PE,0,1,0,1,1,1,2,2,2,3,1,NA,0.28311899543800073,599025.3223112032,3569,0,0,2,2,0,1,3,2,10,9,1
ds20181001-0034,ds20181001,780667.9497560437,1347,3449639.19024141,7777,ds20181001-0034,ds20181001-0034,organoid,1A,34,3,Organoid,Kuwahara,115,70,2,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0034,PE,0,5,0,6,6,5,6,6,6,6,5,NA,0.17481516711618755,777661.9709115147,3682,0,0,6,6,7,4,4,4,3,3,5
ds20181001-0035,ds20181001,411559.6113550903,1150,1383927.39724301,5996,ds20181001-0035,ds20181001-0035,organoid,1A,35,3,Organoid,Kuwahara,115,70,2,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0035,PE,3,12,5,5,5,6,7,5,7,4,12,NA,0.16215178810946881,411619.15302051295,3169,3,5,5,5,6,7,7,7,6,6,12
ds20181001-0036,ds20181001,963805.5046190487,1171,2992867.0480879,5969,ds20181001-0036,ds20181001-0036,organoid,1A,36,3,Organoid,Kuwahara,115,70,2,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0036,PE,3,7,5,5,5,6,7,5,7,4,7,NA,0.059168050376855685,961406.8102728999,3130,3,5,5,5,6,7,7,7,6,6,7
ds20181001-0037,ds20181001,755357.6373635527,1568,3414431.379259,8967,ds20181001-0037,ds20181001-0037,organoid,1A,37,3,Organoid,Kuwahara,115,70,2,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0037,PE,0,1,0,1,1,1,2,2,2,3,1,NA,0.40456937089602235,755001.644316902,4440,0,0,2,2,0,1,3,2,1,1,1
ds20181001-0038,ds20181001,898361.789971024,1463,3825268.88286389,8368,ds20181001-0038,ds20181001-0038,organoid,1A,38,3,Organoid,Kuwahara,116,71,2,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0038,PE,0,5,0,6,6,5,6,6,6,6,5,NA,0.03818163826368159,895279.3741432037,4007,0,0,6,6,7,4,4,4,3,3,5
ds20181001-0039,ds20181001,686681.2542124693,1934,3106448.63845856,10900,ds20181001-0039,ds20181001-0039,organoid,1A,39,3,Organoid,Kuwahara,116,71,2,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0039,PE,0,5,0,6,1,1,6,6,6,6,5,NA,0.2851632485441112,685529.9043518577,5576,0,0,6,6,7,4,4,4,3,3,5
ds20181001-0040,ds20181001,708792.5766443477,1708,3169332.51908792,9898,ds20181001-0040,ds20181001-0040,organoid,1A,40,3,Organoid,Kuwahara,116,71,2,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0040,PE,0,11,0,1,1,1,2,2,2,10,11,NA,0.24242130042663648,705826.150799528,4640,0,0,2,2,0,1,3,2,1,1,11
ds20181001-0041,ds20181001,334579.40134772623,1645,1555109.37012948,9731,ds20181001-0041,ds20181001-0041,organoid,1A,41,3,Organoid,Kuwahara,116,71,2,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0041,PE,0,5,0,6,6,5,6,6,6,6,5,NA,0.316568855497231,334095.5453122879,4538,0,0,2,2,0,4,4,4,3,3,5
ds20181001-0042,ds20181001,539493.3425175012,2262,2372370.72375127,12985,ds20181001-0042,ds20181001-0042,organoid,1A,42,3,Organoid,Kuwahara,116,71,2,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0042,PE,0,2,0,1,1,1,2,0,2,0,2,NA,0.31244970595135785,537536.1913111119,5323,0,0,2,2,0,1,3,2,1,1,2
ds20181001-0043,ds20181001,811020.4975996728,2242,3212082.51483377,12068,ds20181001-0043,ds20181001-0043,organoid,1A,43,3,Organoid,Kuwahara,116,71,2,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0043,PE,3,12,5,5,5,6,7,5,7,4,12,NA,0.163600644682036,810504.1782965051,6748,0,2,1,1,1,0,1,0,0,6,12
ds20181001-0044,ds20181001,810664.9996500553,1726,3743167.5641487,9910,ds20181001-0044,ds20181001-0044,organoid,1A,44,3,Organoid,Kuwahara,116,71,2,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0044,PE,0,5,0,6,6,5,6,6,6,6,5,NA,0.15144175191225237,809492.210277095,5030,0,0,6,6,7,4,4,4,3,3,5
ds20181001-0045,ds20181001,589025.5522225971,1621,2866651.64498002,9263,ds20181001-0045,ds20181001-0045,organoid,1A,45,3,Organoid,Kuwahara,116,71,2,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0045,PE,0,5,0,6,6,5,6,6,6,6,5,NA,0.14027315554112862,586406.0189609289,4465,0,0,6,6,7,4,4,4,3,3,5
ds20181001-0046,ds20181001,599121.87684753,1311,2785011.83379123,7799,ds20181001-0046,ds20181001-0046,organoid,1A,46,3,Organoid,Kuwahara,116,71,2,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0046,PE,0,2,2,2,2,2,0,0,0,0,2,NA,0.1337477622128699,597321.530694869,3746,0,2,1,1,1,0,1,0,0,0,2
ds20181001-0047,ds20181001,597352.7502145937,1633,2835904.11999502,9731,ds20181001-0047,ds20181001-0047,organoid,1A,47,3,Organoid,Kuwahara,116,71,2,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0047,PE,0,1,0,1,1,1,2,2,2,3,1,NA,0.2996693980964716,595926.5969089913,4646,0,0,2,2,0,1,3,2,1,1,1
ds20181001-0048,ds20181001,776785.2744961185,1382,3500536.07286079,7847,ds20181001-0048,ds20181001-0048,organoid,1A,48,3,Organoid,Kuwahara,116,71,2,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0048,PE,1,4,1,0,0,0,5,4,4,5,4,NA,0.383022192277662,776205.2315684452,4049,1,1,0,0,2,2,0,3,2,2,4
ds20181001-0049,ds20181001,512739.1271103214,1321,2449942.44745241,7712,ds20181001-0049,ds20181001-0049,organoid,1A,49,3,Organoid,Kuwahara,116,71,2,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0049,PE,0,5,0,6,6,5,6,6,6,6,5,NA,0.04057870018081631,512117.79504249274,3471,0,0,6,6,7,4,4,4,3,3,5
ds20181001-0050,ds20181001,508384.0108679855,1507,2334463.99566939,8621,ds20181001-0050,ds20181001-0050,organoid,1A,50,3,Organoid,Kuwahara,116,71,2,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0050,PE,0,5,0,6,6,5,6,6,6,6,5,NA,0.17230389334999968,506925.31960830186,3894,0,0,6,6,7,4,4,4,3,3,5
ds20181001-0051,ds20181001,733829.828194796,1494,3289838.54342714,8558,ds20181001-0051,ds20181001-0051,organoid,1A,51,3,Organoid,Kuwahara,115,84,3,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0051,PE,1,4,1,0,0,0,5,4,4,5,4,NA,0.49346267434449825,733496.2762368709,4124,1,1,0,0,2,2,0,3,2,2,4
ds20181001-0052,ds20181001,1174514.749903103,1396,4741460.31431142,7784,ds20181001-0052,ds20181001-0052,organoid,1A,52,3,Organoid,Kuwahara,115,84,3,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0052,PE,2,6,3,3,3,3,1,8,5,7,6,NA,0.5188932798437874,1175179.5314512989,3925,2,4,4,4,5,6,6,6,5,5,6
ds20181001-0053,ds20181001,867419.4121717203,1618,3654983.7845616,9072,ds20181001-0053,ds20181001-0053,organoid,1A,53,3,Organoid,Kuwahara,115,84,3,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0053,PE,0,1,0,1,1,1,2,2,2,3,1,NA,0.2173064059061588,866509.5001930667,4493,0,0,2,2,0,1,3,2,1,1,1
ds20181001-0054,ds20181001,670224.4080115722,1562,2953933.27194132,8951,ds20181001-0054,ds20181001-0054,organoid,1A,54,3,Organoid,Kuwahara,115,84,3,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0054,PE,0,1,0,1,1,1,2,2,2,3,1,NA,0.4333767412205271,668693.9269708762,4304,0,0,2,2,0,1,3,2,1,1,1
ds20181001-0055,ds20181001,854124.5486784263,1486,3027585.49553335,7910,ds20181001-0055,ds20181001-0055,organoid,1A,55,3,Organoid,Kuwahara,115,84,3,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0055,PE,3,7,5,5,5,6,7,5,7,4,7,NA,0.5193805290201349,851066.7085014811,3693,3,5,5,5,6,7,7,7,6,6,7
ds20181001-0056,ds20181001,823402.7912379156,1537,3735858.33287054,8668,ds20181001-0056,ds20181001-0056,organoid,1A,56,3,Organoid,Kuwahara,115,84,3,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0056,PE,0,1,0,1,1,1,2,2,2,3,1,NA,0.47979938572427744,823880.82013069,4234,0,0,2,2,0,1,3,2,1,1,1
ds20181001-0057,ds20181001,709791.9464954757,1584,3190580.32394794,9213,ds20181001-0057,ds20181001-0057,organoid,1A,57,3,Organoid,Kuwahara,115,84,3,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0057,PE,0,1,0,1,1,1,2,2,2,3,1,NA,0.2131548062144252,707915.5411562202,4430,2,4,4,4,5,6,6,6,5,5,1
ds20181001-0058,ds20181001,480000.8031674603,1371,2245126.40091518,8452,ds20181001-0058,ds20181001-0058,organoid,1A,58,3,Organoid,Kuwahara,115,84,3,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0058,PE,0,1,0,1,1,1,2,2,2,3,1,NA,0.23718020990928143,479755.89868275146,3660,0,0,2,2,0,1,3,2,1,1,1
